iter	Passed	Remaining
0	136	136719
1	138	68990
2	139	46365
3	140	35059
4	142	28293
5	143	23778
6	145	20598
7	147	18240
8	149	16425
9	150	14914
10	152	13742
11	154	12711
12	155	11828
13	158	11151
14	160	10518
15	162	9967
16	163	9465
17	165	9044
18	167	8644
19	169	8293
20	172	8052
21	174	7765
22	176	7490
23	178	7271
24	180	7036
25	181	6815
26	183	6613
27	186	6467
28	188	6301
29	190	6150
30	192	6008
31	194	5872
32	195	5741
33	198	5636
34	200	5517
35	201	5404
36	203	5298
37	205	5199
38	207	5106
39	208	5014
40	210	4930
41	213	4863
42	214	4783
43	216	4706
44	218	4631
45	219	4556
46	221	4496
47	223	4429
48	225	4380
49	228	4332
50	229	4275
51	231	4224
52	233	4170
53	235	4122
54	237	4082
55	239	4042
56	241	3997
57	243	3955
58	245	3909
59	246	3865
60	248	3828
61	250	3791
62	252	3762
63	255	3730
64	257	3697
65	259	3665
66	261	3636
67	263	3605
68	265	3577
69	267	3550
70	269	3525
71	271	3505
72	274	3480
73	276	3456
74	278	3430
75	279	3403
76	282	3383
77	284	3360
78	286	3337
79	288	3315
80	290	3291
81	291	3268
82	292	3236
83	294	3216
84	297	3199
85	299	3178
86	300	3157
87	302	3136
88	304	3115
89	306	3095
90	307	3073
91	310	3061
92	311	3041
93	313	3021
94	315	3009
95	317	2990
96	319	2972
97	320	2953
98	322	2936
99	324	2921
100	326	2904
101	328	2892
102	330	2876
103	331	2859
104	333	2844
105	335	2828
106	337	2813
107	339	2800
108	340	2786
109	342	2772
110	344	2759
111	346	2746
112	348	2732
113	349	2717
114	351	2707
115	353	2695
116	354	2678
117	356	2667
118	358	2656
119	360	2643
120	362	2630
121	363	2616
122	365	2607
123	367	2597
124	369	2584
125	372	2581
126	373	2569
127	376	2561
128	377	2550
129	380	2543
130	382	2538
131	386	2539
132	388	2531
133	390	2524
134	392	2513
135	394	2504
136	396	2494
137	397	2483
138	399	2475
139	401	2467
140	403	2455
141	404	2441
142	405	2430
143	407	2422
144	409	2412
145	411	2406
146	413	2399
147	415	2390
148	417	2381
149	418	2372
150	420	2363
151	422	2356
152	424	2349
153	426	2340
154	427	2331
155	429	2324
156	431	2317
157	433	2310
158	436	2306
159	438	2299
160	439	2289
161	441	2281
162	442	2273
163	444	2266
164	446	2258
165	447	2250
166	450	2246
167	452	2239
168	453	2231
169	455	2224
170	457	2217
171	458	2209
172	460	2201
173	462	2194
174	464	2189
175	466	2182
176	467	2175
177	469	2168
178	471	2161
179	472	2153
180	474	2146
181	475	2139
182	477	2133
183	480	2128
184	481	2122
185	483	2115
186	485	2108
187	486	2101
188	488	2094
189	489	2088
190	491	2083
191	493	2078
192	495	2071
193	497	2065
194	498	2059
195	500	2052
196	502	2046
197	503	2040
198	505	2036
199	507	2031
200	509	2025
201	510	2018
202	512	2011
203	513	2004
204	515	1999
205	517	1993
206	519	1988
207	521	1984
208	522	1979
209	524	1973
210	526	1968
211	528	1963
212	529	1956
213	531	1951
214	533	1947
215	535	1942
216	536	1937
217	538	1932
218	540	1926
219	541	1920
220	543	1915
221	544	1909
222	546	1904
223	548	1899
224	550	1894
225	551	1889
226	553	1884
227	554	1878
228	556	1874
229	558	1868
230	560	1867
231	562	1862
232	564	1858
233	566	1853
234	567	1848
235	569	1842
236	570	1838
237	572	1832
238	574	1828
239	576	1825
240	578	1820
241	579	1815
242	581	1810
243	582	1805
244	584	1801
245	586	1796
246	587	1792
247	590	1789
248	591	1784
249	593	1780
250	595	1775
251	596	1771
252	598	1766
253	600	1762
254	601	1757
255	603	1753
256	605	1749
257	606	1744
258	608	1740
259	610	1736
260	611	1732
261	613	1729
262	615	1724
263	618	1723
264	619	1719
265	621	1714
266	622	1709
267	624	1705
268	626	1701
269	627	1697
270	629	1692
271	630	1688
272	632	1685
273	634	1681
274	636	1677
275	638	1674
276	639	1670
277	641	1666
278	643	1662
279	645	1659
280	646	1655
281	648	1651
282	650	1647
283	651	1643
284	653	1639
285	655	1635
286	656	1631
287	658	1627
288	660	1624
289	661	1620
290	663	1616
291	665	1612
292	666	1609
293	668	1605
294	670	1601
295	671	1597
296	673	1594
297	675	1590
298	676	1586
299	678	1582
300	680	1579
301	682	1577
302	684	1573
303	685	1569
304	687	1566
305	689	1563
306	690	1559
307	692	1555
308	694	1552
309	695	1549
310	697	1545
311	699	1541
312	700	1538
313	702	1534
314	703	1530
315	705	1527
316	707	1524
317	708	1520
318	710	1516
319	712	1513
320	713	1509
321	716	1507
322	717	1504
